epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.6525,1.3588,4.73153,1.63941,0.34413,0.43547,0.34136,0.21146,1.3614,3.50626,1.44226,9.50218e-05,9.50218e-05,9.50218e-05
2,124.696,1.09991,3.16885,1.34208,0.58225,0.66041,0.69435,0.51798,0.98662,2.49347,1.16827,0.00017151,0.00017151,0.00017151
3,180.743,1.00411,2.32862,1.24627,0.8025,0.73588,0.85159,0.58448,1.14678,1.88728,1.22147,0.000229122,0.000229122,0.000229122
4,236.101,0.93528,1.80892,1.18813,0.84036,0.79663,0.90001,0.69296,0.88495,1.47535,1.06937,0.000201058,0.000201058,0.000201058
5,291.769,0.89404,1.47414,1.14384,0.89882,0.88475,0.94892,0.7424,0.83978,1.19538,1.0446,0.000172744,0.000172744,0.000172744
6,347.116,0.83339,1.253,1.10822,0.94194,0.8843,0.95286,0.75503,0.81122,1.08415,1.02368,0.00014443,0.00014443,0.00014443
7,402.802,0.79843,1.08139,1.08316,0.95735,0.91859,0.97139,0.78718,0.76004,0.93133,0.99625,0.000116116,0.000116116,0.000116116
8,458.295,0.77146,0.97682,1.06714,0.94032,0.93649,0.97182,0.78881,0.74842,0.88805,0.9872,8.7802e-05,8.7802e-05,8.7802e-05
9,513.929,0.72324,0.89481,1.03823,0.96829,0.92979,0.97504,0.80468,0.70272,0.81695,0.96932,5.9488e-05,5.9488e-05,5.9488e-05
10,569.459,0.69432,0.84555,1.02034,0.9648,0.94198,0.97787,0.81391,0.68024,0.77664,0.959,3.1174e-05,3.1174e-05,3.1174e-05
